PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100
0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,99.99898513,0.003426433,100,99.98545629
0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,99.99898402,0.00342609,100,99.98545629
0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,99.99886438,0.00342591,100,99.98545629
0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,99.99721593,0.008282285,100,99.9651488
0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,99.9917793,0.031716727,100,99.85780234
0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,99.98269452,0.070068295,100,99.68540155
0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,99.97129688,0.113257427,100,99.49088002
0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,99.95349581,0.176721787,100,99.20495783
0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,99.92243449,0.291953431,100,98.68648631
