PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100
0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,99.99999979,9.54E-07,100,99.99999573
0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,99.99999858,4.40E-06,100,99.99998431
0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,99.99962232,0.001669282,100,99.99253049
0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,99.9963472,0.016268517,100,99.92723006
0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,99.9891118,0.047889821,100,99.78566761
0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,99.9787811,0.091417926,100,99.59059255
0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,99.96441729,0.149367487,100,99.33056741
0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,99.93819411,0.25471468,100,98.8575435
0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,99.8988397,0.410711556,100,98.15638776
0.1,100,0,100,100,0.1,100,0,100,100,0.1,100,0,100,100,0.1,100,0,100,100,0.1,100,0,100,100,0.1,100,0,100,100,0.1,99.84895773,0.604410578,100,97.28480034
0.11,100,0,100,100,0.11,100,0,100,100,0.11,100,0,100,100,0.11,100,0,100,100,0.11,100,0,100,100,0.11,100,0,100,100,0.11,99.78858025,0.834013996,100,96.250639
0.12,100,0,100,100,0.12,100,0,100,100,0.12,100,0,100,100,0.12,100,0,100,100,0.12,100,0,100,100,0.12,100,0,100,100,0.12,99.71625057,1.098646884,100,95.05642054
