PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100
0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,99.99999976,1.08E-06,100,99.99999517
0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,99.99999845,4.86E-06,100,99.99998181
0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,99.99965661,0.001516505,100,99.99321394
0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,99.99653614,0.015404931,100,99.931088
0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,99.98972173,0.04564749,100,99.79578777
0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,99.97965807,0.088573583,100,99.60338779
0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,99.96454084,0.14772002,100,99.33737664
0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,99.93720281,0.254125921,100,98.85905459
0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,99.89728067,0.407561602,100,98.16887067
0.1,100,0,100,100,0.1,100,0,100,100,0.1,100,0,100,100,0.1,100,0,100,100,0.1,100,0,100,100,0.1,100,0,100,100,0.1,99.84800143,0.593609078,100,97.33129401
0.11,100,0,100,100,0.11,100,0,100,100,0.11,100,0,100,100,0.11,100,0,100,100,0.11,100,0,100,100,0.11,100,0,100,100,0.11,99.78901161,0.811780232,100,96.34824919
0.12,100,0,100,100,0.12,100,0,100,100,0.12,100,0,100,100,0.12,100,0,100,100,0.12,100,0,100,100,0.12,100,0,100,100,0.12,99.71750255,1.068204151,100,95.19107637
0.13,100,0,100,100,0.13,100,0,100,100,0.13,100,0,100,100,0.13,100,0,100,100,0.13,100,0,100,100,0.13,100,0,100,100,0.13,99.63899852,1.336784957,100,93.97656541
0.14,100,0,100,100,0.14,100,0,100,100,0.14,100,0,100,100,0.14,100,0,100,100,0.14,100,0,100,100,0.14,100,0,100,100,0.14,99.55788735,1.593330112,100,92.81308989
0.15,100,0,100,100,0.15,100,0,100,100,0.15,100,0,100,100,0.15,100,0,100,100,0.15,100,0,100,100,0.15,100,0,100,100,0.15,99.47361918,1.837387674,100,91.70397382
