PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,100,0,100,100
0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,100,0,100,100,0.01,99.99999983,7.71E-07,100,99.99999655
0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,100,0,100,100,0.02,99.99999846,4.78E-06,100,99.99998295
0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,100,0,100,100,0.03,99.99953297,0.00206804,100,99.99074696
0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,100,0,100,100,0.04,99.99633009,0.016309096,100,99.92704067
0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,100,0,100,100,0.05,99.98942812,0.046095906,100,99.79362218
0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,100,0,100,100,0.06,99.97907291,0.087963563,100,99.60568574
0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,100,0,100,100,0.07,99.96376522,0.143908431,100,99.35385736
0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,100,0,100,100,0.08,99.93642602,0.243791793,100,98.90418475
0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,100,0,100,100,0.09,99.8964369,0.391073403,100,98.24098299
