Body_max_DoseLimit,Body_max_Priority,CTV_min_DoseLimit,CTV_min_Priority,PTV_min_DoseLimit,PTV_min_Priority,PGTV_min_DoseLimit,PGTV_min_Priority,GTV_min_DoseLimit,GTV_min_Priority,IV_max_DoseLimit,IV_max_Priority,IV_min_DoseLimit,IV_min_Priority,Avoidance_max_DoseLimit,Avoidance_max_Priority,Avoidance_mean_DoseLimit,Avoidance_mean_Priority,FH_mean_DoseLimit,FH_mean_Priority,FH_max_DoseLimit,FH_max_Priority,FH_40%_DoseLimit,FH_40%_Priority,FH_25%_DoseLimit,FH_25%_Priority,UB_mean_DoseLimit,UB_mean_Priority,UB_max_DoseLimit,UB_max_Priority,UB_40%_DoseLimit,UB_40%_Priority,UB_15%_DoseLimit,UB_15%_Priority
52.36503437,868.484511,43.41639906,626.8032296,41.85339055,608.3530933,51.70664247,489.4899966,51.93336807,590.0688457,49.03193493,457.2514351,43.3813937,457.7212324,41.94222185,871.0249326,6.42349961,133.3119907,9.709736058,745.3103803,16.02859884,148.2200949,2.134181108,286.3560585,3.09537338,158.8548491,7.196363474,422.5416975,44.092074,363.9441628,13.1780875,349.9885304,39.16198628,605.1912407
52.30274998,825.7717155,42.76328625,932.9765253,42.69492808,829.4000369,51.02028123,872.0100418,51.03655928,253.6053536,45.7710255,643.7995273,41.78749654,679.4085065,41.16638835,945.1390406,16.14449733,671.988684,10.66767836,473.9591783,48.32699469,606.6710901,19.78502938,165.006384,4.189090152,968.5202036,19.04003906,783.2877425,28.08727168,305.5164538,15.12306088,498.2390154,22.43721585,165.3933362
52.99695078,519.4211769,43.62120957,767.740603,42.68392233,504.2441193,51.23701721,974.8636455,51.99920279,551.7894768,45.45007893,166.0423637,42.26079255,436.0856754,38.83009538,829.5038844,15.53794407,884.8147106,14.87908095,847.6865509,32.1492187,595.7719279,16.61029656,721.5643807,17.74294909,188.4279578,13.60477658,483.3005194,43.19776624,128.6493509,24.5879344,903.1594722,36.76894542,774.7531127
52.22127972,894.1200095,42.09765724,743.3012616,41.82816363,987.9235542,50.99476982,690.1577751,51.1698729,801.6450275,48.31768958,172.1961089,42.4299772,689.0534401,34.4247123,211.670816,18.7280532,593.5332858,12.42859558,618.6611963,34.34566833,411.3540813,5.240052219,367.2646898,14.64478136,141.2609359,17.05467495,912.7319769,30.67887122,106.9241569,13.70825468,231.6817373,19.07342369,693.0738107
52.37996376,845.0356223,43.28361109,822.3476527,42.94699521,707.8065126,52.32192578,974.6193424,52.29109469,761.970899,46.89459924,202.9195081,41.78391955,162.970553,32.72560962,775.0542167,13.31365795,425.7943428,6.957752164,928.4740837,33.47804525,549.550062,3.522368785,769.0779122,18.00559582,633.233477,9.864929361,371.705816,46.59978267,419.785286,5.368391916,703.4413306,29.98577038,379.7779132
52.9194122,991.9456624,42.77781004,542.0039083,42.49393351,453.2567886,51.74891444,946.0285936,52.23797328,433.7973773,45.79960141,823.2144957,41.38607587,290.5101339,26.51999119,226.7765051,1.368142043,129.6752028,10.27404719,679.9752573,16.58216775,418.54776,10.11563384,197.3232425,6.717513184,744.1891742,7.9027518,138.0593909,49.69754473,266.8328878,15.39630207,369.9800643,39.06261636,782.4603171
53.04472913,963.1709283,43.20076556,928.0526056,42.8065028,787.7598198,52.59400194,861.8668082,52.44627504,586.9205652,47.14314897,502.8689264,42.02730724,451.7718112,39.7112364,841.3112963,1.017612227,161.3281559,4.512707885,507.0336401,18.46024374,531.0195734,9.808497649,766.3752865,2.505389647,524.1446048,9.611729213,409.5584279,43.55353455,468.7698808,14.09599117,172.08268,14.24484463,523.5743035
53.02304235,883.7459199,43.32010921,608.5588631,41.85733646,708.7241885,51.25866276,719.5087316,51.01637833,364.3831147,48.2272706,623.5150408,41.87511777,571.022555,39.77387456,430.808554,7.65444961,281.7175686,13.95562191,533.8849731,39.65505579,943.9871157,11.90517335,989.4735073,7.168635773,929.6445729,19.33621985,255.7428244,43.23241,533.2049912,17.44042852,953.7303606,23.32963486,923.4629193
52.82514832,868.0479237,43.21271787,951.3922698,42.1047822,432.5556695,51.79717664,802.8758043,52.1632838,729.2139009,46.08508987,637.3602442,41.65536826,402.2655837,42.8391157,859.1958729,7.432867543,264.3222705,9.764129436,671.4241654,43.16755089,267.3226533,18.49336099,206.1341717,17.01327706,868.3159627,19.57413154,973.5019484,31.20861575,371.8299788,10.73441411,140.7915259,12.42174244,133.7898573
52.56414355,711.8697567,42.8610144,762.8226965,41.81284377,738.5341036,52.53580014,374.5682536,52.46173326,644.6355768,45.64302747,667.3251356,42.34767525,289.2479392,16.3289758,199.6093873,14.6562561,962.0968243,13.656862,392.0009215,29.60860168,260.9421885,2.086033388,107.0140445,7.488653542,998.798994,9.100301306,271.8656607,34.0038724,418.4721771,17.40971135,471.7693541,20.99438549,226.4294624
52.93415747,946.008912,43.88565188,964.86287,42.76140338,494.3365178,50.92339114,663.5507596,52.06030737,397.3874426,46.91960528,771.1736017,42.12332349,457.9078329,40.31810062,898.244211,14.43931142,466.1951505,6.635099951,415.2281274,28.2181926,233.7566682,13.88299624,257.4069238,7.160134308,780.3932551,18.77156285,737.0963222,41.47765961,838.3214479,14.36565121,954.7548739,35.08928666,222.7655062
52.90356167,143.0546213,43.84298581,231.0794582,41.8207453,948.8463153,50.71339645,827.9424935,52.26212484,319.4332705,45.73065524,779.7382287,45.00221959,296.3889066,20.082884,130.5105844,2.293078818,419.8279114,14.67948619,628.5739787,44.92470838,139.5906347,19.65047801,873.5492375,14.67519078,453.9652036,7.25875273,315.727072,45.43004618,381.2342236,17.70599649,388.146215,31.46791064,206.09362
52.69500014,723.366816,42.47752094,823.31906,42.1490412,339.1450894,52.19771078,815.1413173,51.78834399,586.3891232,45.69007521,279.7994556,43.11217184,603.3876672,41.4182518,108.4060933,8.174336249,476.249872,4.244896479,565.7829099,34.9011435,428.9814173,14.85993727,126.8883893,13.09378192,837.9992157,16.7758134,312.0231031,46.99468826,743.1886742,15.68349692,327.4249114,37.20441981,120.8416995
52.75505484,966.4044696,43.69877512,834.6180021,42.49393275,428.0906574,50.7959952,616.6264265,51.48158912,536.2187028,46.73308985,951.4982414,41.51578847,368.6783782,37.15009653,493.0666737,19.75272889,432.7372618,5.343283979,252.3246775,38.20491632,893.0171782,7.026256661,676.9496685,8.358043928,398.6993647,9.070948077,229.9158421,43.28582166,801.1942303,14.13809966,747.1191053,36.29643914,142.9954082
52.578885,877.8295712,43.2427914,932.3294549,43.12373668,345.6294127,52.32631037,563.9537104,51.59770937,923.811666,47.42184947,941.3422966,45.06300684,514.5047632,37.6461885,535.0984279,4.718736009,666.8098698,10.01293788,509.2256503,41.25940599,182.9926892,11.33566754,493.4986007,19.66558719,586.7621506,11.30479364,570.1804419,42.14607969,752.1749193,13.39753266,362.9451565,14.46459455,163.8382132
52.98463315,748.1677166,42.66542919,746.5751676,42.15569638,363.3535731,51.05962998,517.0147652,52.26999703,401.5692613,44.79124313,305.07602,43.59048342,332.8052291,38.55709558,183.1936395,13.16010268,359.817,10.36228635,485.5002434,40.0157036,708.9697355,4.575249747,179.2618387,19.82956193,481.713442,9.64598332,242.649844,47.66444617,620.4199627,22.94346452,688.5771636,36.65449732,990.7770667
52.95966368,822.7050814,43.68629929,130.0784428,43.35383344,972.19786,52.40634249,942.9829553,52.80428389,197.3436885,48.03111501,536.1995426,45.04782673,663.0981636,25.1563885,410.7512406,15.10259567,619.8353887,7.82128715,514.1972002,19.08988911,812.2838126,16.13638716,717.4510707,17.81059906,707.5096583,17.09730301,351.5529556,40.94607636,750.3725092,13.60010504,618.5160402,36.92923357,502.5740343
52.98894804,897.5080284,43.00320144,795.6635807,42.0014082,747.4009292,51.8931986,462.7275563,51.4919427,224.5110493,49.02800366,206.6473403,41.40401278,877.3532754,41.78480924,819.4374895,9.355834716,915.6181511,7.277212666,425.6672438,46.02634218,976.3659441,19.14025293,539.4972457,4.927509545,416.7951611,1.893642833,224.7895707,31.91779068,233.5505212,21.28986976,878.0411891,29.36037273,414.6079839
51.84263729,621.2319512,42.65324772,480.9542453,42.02417867,879.6686429,51.00854876,649.5038021,51.75413939,470.5654974,48.63695823,580.2169797,41.08662593,179.691216,25.58534855,456.5275706,12.05615692,293.8573833,11.6882138,907.7230865,29.76621348,834.4593838,15.26725293,548.3769182,13.0160722,131.6558097,7.777526009,122.5028971,47.67963316,557.9753054,11.52584103,403.8083652,35.14126905,509.1495812
