Body_max_DoseLimit,Body_max_Priority,CTV_min_DoseLimit,CTV_min_Priority,PTV_min_DoseLimit,PTV_min_Priority,PGTV_min_DoseLimit,PGTV_min_Priority,GTV_min_DoseLimit,GTV_min_Priority,IV_max_DoseLimit,IV_max_Priority,IV_min_DoseLimit,IV_min_Priority,Avoidance_max_DoseLimit,Avoidance_max_Priority,Avoidance_mean_DoseLimit,Avoidance_mean_Priority,FH_mean_DoseLimit,FH_mean_Priority,FH_max_DoseLimit,FH_max_Priority,FH_40%_DoseLimit,FH_40%_Priority,FH_25%_DoseLimit,FH_25%_Priority,UB_mean_DoseLimit,UB_mean_Priority,UB_max_DoseLimit,UB_max_Priority,UB_40%_DoseLimit,UB_40%_Priority,UB_15%_DoseLimit,UB_15%_Priority
52.43886363,851.6265576,43.89,634.6270261,42.29385043,675.9580784,50.6,965.1800714,51.50322585,681.1121726,48.96584628,356.6446753,43.34837975,474.7363643,45,901.1073805,1,159.3957936,15,959.0934989,17.6096042,715.6555414,5.390271841,151.3489289,8.099800069,136.1874685,8.002208057,556.7994898,50,100,15.81171841,449.4096775,40,507.6053367
52.48294361,1000,42.72086289,100,41.8902532,853.0219279,52.43847018,1000,50.62827386,100,44.65,100,45.15,494.5513889,33.60568372,1000,20,487.3351538,9.68080802,609.8236268,16.1537616,100,10.31592384,153.5107352,16.1537616,314.8796911,8.616842946,327.4826414,50,1000,24.72584467,584.837491,35.33327511,850.0071523
51.40995293,1000,43.35806053,620.9909898,42.35850494,1000,50.82932612,741.0814265,51.40995293,368.3912226,49.35,100,40.89937684,815.1774106,32.93342566,843.3626764,19.96078918,114.1169019,11.72573591,404.5894082,25.13146319,594.9567235,20,919.2811897,6.914423272,508.4889296,14.77567447,746.2690238,50,357.9117787,13.76319487,880.268731,23.05479165,917.3879436
52.87991209,1000,43.89,1000,43.89,100,52.17755716,1000,52.87991209,938.1394392,49.01516573,475.0538559,45.15,495.7645016,45,385.2111491,14.61369422,1000,9.956417526,593.5560396,50,1000,20,208.568504,1,308.8614815,14.12858764,487.3683213,50,100,25,152.8118295,40,100
50.82541481,996.1693047,43.1800454,578.6303686,42.66898308,695.9672854,50.82541481,811.8683517,50.82541481,643.3438205,47.65087366,428.8007277,44.29138498,346.6596621,25.76647171,389.0051349,12.14911365,202.2241837,1,186.6303774,44.2469086,973.4720765,3.526342646,1000,18.90314164,308.3374208,16.27221142,1000,42.34741654,100,1,212.3625689,40,641.3873816
52.50543853,1000,42.38399871,371.0241961,42.28251084,614.0201061,50.6,1000,52.13291155,1000,49.35,783.5436125,41.20535997,650.6134481,13.19718245,100,13.19718245,270.2500442,11.35834824,502.1215654,44.0958788,1000,10.55446717,100,6.01387447,100,19.27338268,1000,45.92238379,100,9.718456656,344.1618589,40,555.8096667
50.94924086,1000,43.89,1000,41.8,169.7398795,50.94924086,1000,50.6,314.7149478,44.65,100,43.82738147,462.9558626,45,100,20,100,12.17864451,1000,21.04212847,1000,20,129.2850593,20,886.5395393,20,100,50,100,1,100,18.32505108,1000
52.22559596,1000,43.3275301,207.2537094,43.3275301,626.793282,50.6,1000,50.6,1000,45.70162937,617.9929031,40.94997563,221.8156918,38.18272986,326.9825283,13.41087209,427.8275656,13.97205179,254.8663443,35.91006685,100,5.097448334,100,11.84224265,506.6230737,16.33553977,100,44.00038541,100,14.70659725,1000,23.86727243,572.5137811
52.68007134,969.6045902,42.8518115,1000,41.8,813.5624263,51.8235667,859.3399403,50.693432,182.4222158,49.35,908.4957375,40.85,850.0623464,45,427.037787,20,313.1022709,5.729073809,172.476119,50,656.5240066,20,731.5966318,10.76600185,100,17.29431035,436.9942481,50,808.7067063,12.62684835,169.1597531,34.56040448,534.9991563
53.13,1000,43.89,100,42.44585001,798.6088072,50.6,1000,51.66305818,100,45.14710343,448.9926201,43.36818828,388.9354479,45,100,20,100,15,1000,50,369.3903749,8.339401216,1000,9.876687752,1000,15.2833094,772.8080541,50,784.3129965,22.03869362,298.9121031,22.03869362,260.4363124
