Body_max_DoseLimit,Body_max_Priority,CTV_min_DoseLimit,CTV_min_Priority,PTV_min_DoseLimit,PTV_min_Priority,PGTV_min_DoseLimit,PGTV_min_Priority,GTV_min_DoseLimit,GTV_min_Priority,IV_max_DoseLimit,IV_max_Priority,IV_min_DoseLimit,IV_min_Priority,Avoidance_max_DoseLimit,Avoidance_max_Priority,Avoidance_mean_DoseLimit,Avoidance_mean_Priority,FH_mean_DoseLimit,FH_mean_Priority,FH_max_DoseLimit,FH_max_Priority,FH_40%_DoseLimit,FH_40%_Priority,FH_25%_DoseLimit,FH_25%_Priority,UB_mean_DoseLimit,UB_mean_Priority,UB_max_DoseLimit,UB_max_Priority,UB_40%_DoseLimit,UB_40%_Priority,UB_15%_DoseLimit,UB_15%_Priority
0.804226228,0.840944018,0.866663607,0.650742863,0.92619447,1.018356394,0.923596543,0.956694057,1.072221894,0.850031965,0.910384174,0.896455221,0.935716171,0.900391867,0.690540278,1.00518746,0.921159418,0.802005721,1.006930575,0.917603866,0.851563305,1.032892701,0.919461739,0.683224115,1.040684327,0.798838496,0.916697432,0.943715671,0.949761595,0.778619666,1.043762959,0.990474019,0.757521153,0.957098863
0.743506704,0.703725001,0.971880729,0.954530552,0.919482781,0.813634726,0.830533428,0.864747605,0.802642252,0.993694023,0.952752243,0.965227115,0.921653167,0.914708152,0.787401,0.985649314,0.744085712,0.845979909,0.871723974,0.89422081,0.59873811,0.895990982,0.984745478,0.853173391,0.903454052,0.86431086,0.900263025,0.373534911,0.780162756,0.739053658,0.89387314,0.89997433,0.710976855,0.80724048
0.855386997,0.678572144,0.748498501,0.784078726,0.789367878,0.756597754,0.879302157,0.858492794,0.887365088,0.975018144,0.927290352,1.08031189,1.053221272,0.923314859,0.604450533,0.887177022,0.954591435,0.807157941,0.844819225,0.96960792,0.957029991,0.97548202,0.750330983,0.936045903,0.872035298,0.726248432,0.903400291,0.773048182,0.835272932,0.851908724,0.844307641,0.875923985,0.922426691,0.843879946
0.918775337,0.973514705,0.946838602,0.852742994,1.009861763,0.936868808,0.949615298,0.940559256,0.864040671,0.703402741,0.912402181,0.983425462,0.92385996,1.041503464,0.961466974,0.966348358,0.930587892,0.922079763,0.944148917,1.068789452,0.829727223,1.048849322,1.056131841,0.943407105,0.970323859,0.997875852,0.888967029,0.955112931,0.563944461,0.943898542,0.874525206,0.920127309,0.9022849,0.650894211
0.882458472,1.083312008,0.905518403,1.033796612,0.989178561,1.004532665,1.01510912,0.760655932,0.924372997,0.975299077,1.043827943,1.042723828,1.01533534,0.976720774,0.917030559,0.787232902,0.888724871,1.012514422,1.004414491,0.91905779,0.88125291,0.741333931,0.892592488,1.137199128,1.045065893,0.966360364,0.983899456,1.00222479,0.366081408,0.89200184,1.054854042,1.078509585,0.848513976,1.043103936
0.720059068,0.705745579,0.729867905,0.959951407,0.855172413,0.886296109,0.918223165,0.722548146,0.960745494,0.74300178,0.854569249,1.081172203,0.903633634,0.907502482,0.782514393,0.792560221,0.700403979,0.781523676,0.659682862,0.907796644,0.926466546,0.936210064,0.802915663,0.80029207,0.856655423,0.887990356,0.88282345,0.564068092,0.69485081,0.843015749,0.839177246,0.880183975,0.591421363,0.791745927
0.935427414,0.582069316,0.886356629,1.003559295,0.916855601,1.006448973,0.891888705,0.905355417,0.986874268,0.890713127,0.945054089,0.845732312,0.863836369,1.018994266,0.738872056,0.754530442,1.04697982,0.737114349,0.995431865,1.051757744,0.499423856,0.950675011,0.96691608,1.057717563,0.964597617,1.171199553,0.758655344,0.897238087,0.902445621,0.979741063,0.881613389,0.945636408,0.964012314,1.004370334
1.041912692,0.889184748,0.866757913,1.154557768,0.972080693,1.133127284,1.069207043,0.902782637,0.956755045,0.877548167,0.977799214,0.831999212,0.908324216,0.94607763,0.733370721,0.88112174,0.798706715,1.001712548,0.943754711,0.944825196,0.939710216,1.005661329,1.053950607,1.110974969,0.948936498,1.015914402,0.859023824,0.836001355,0.838490826,1.097326104,0.949317762,0.801253015,0.967461943,0.637249762
0.9395465,0.812570696,1.05774937,0.727297618,0.794472422,0.9029846,0.867228419,1.089384673,0.989952345,0.926297906,0.73599395,0.778400666,0.889169171,0.90851832,0.830132857,0.878534459,0.617740184,0.938190539,0.908652407,0.938551855,0.955325321,0.893967807,1.080681547,0.955907933,0.845508162,0.895478006,0.951863945,0.968656526,0.649699665,0.878834443,0.939777114,0.859679139,0.726803696,0.884657729
0.748991812,0.906502008,0.764493185,0.693400988,0.915135253,0.774728664,0.776931711,0.806719052,0.814965074,0.853512923,0.797419417,1.177941368,1.088241217,0.760437244,0.767337192,0.790578783,0.908821495,0.879136468,0.790494814,0.923341926,0.704527535,0.843567762,0.900791764,0.851216497,0.749409306,0.721781734,0.507221262,0.713819487,0.747950549,0.870401919,0.690493221,0.861322943,0.669044515,0.590774623
0.830406281,0.989179627,1.024237876,0.865342813,0.701922578,0.785194115,0.985062187,0.745285549,1.259197447,0.913781631,0.934710408,0.663458274,1.013625255,1.25658067,0.872550573,0.953763127,1.062358837,0.983755161,0.821489537,0.948643662,0.933044755,0.922534361,1.046950285,0.8837006,0.903388669,1.243644343,0.849104801,0.900230076,0.915618739,0.795417785,0.988789824,0.903809159,0.806320141,0.823108811
1.025275626,1.00059627,0.955450865,1.089204697,0.978331587,1.047951624,0.984448312,1.176815744,1.094320125,0.897380178,0.955895838,1.105409975,0.796570169,1.128624366,1.09750641,1.177008877,0.948683925,1.070763198,0.901040818,1.065130402,1.08656007,1.083785619,1.25267921,1.074407872,1.098155454,1.15471642,0.379148428,0.824473905,0.992430936,0.95070788,1.00993219,1.049785787,0.998449037,0.78676577
0.81003622,1.04943463,0.682361284,0.791605329,0.766406093,0.802615421,0.893834161,0.948945879,0.815424291,0.842581074,0.845656535,0.788587695,0.828364477,0.978280052,0.774043415,0.830535865,0.713627524,0.97803235,1.025892521,0.866925113,0.831040205,0.898267551,0.899645593,0.629152679,0.943874875,0.912379289,0.782931198,0.636836317,0.84286799,0.789255133,0.893964611,1.110452345,0.929422157,0.890444056
1.009259203,1.082244051,0.891646353,1.051133259,0.838206802,0.920718302,0.918650048,0.939284521,0.86087579,0.879675888,0.947324808,0.862258447,0.990929938,1.015382313,0.925965291,0.900989412,0.897153879,0.922834389,1.006517385,0.835396927,0.825055688,0.902699016,0.82276202,0.944097016,0.926386238,0.924338664,0.746136112,0.493817471,0.84491869,0.977426008,0.893372713,0.802049865,0.992285058,0.739510445
