Body_max_DoseLimit,Body_max_Priority,CTV_min_DoseLimit,CTV_min_Priority,PTV_min_DoseLimit,PTV_min_Priority,PGTV_min_DoseLimit,PGTV_min_Priority,GTV_min_DoseLimit,GTV_min_Priority,IV_max_DoseLimit,IV_max_Priority,IV_min_DoseLimit,IV_min_Priority,Avoidance_max_DoseLimit,Avoidance_max_Priority,Avoidance_mean_DoseLimit,Avoidance_mean_Priority,FH_mean_DoseLimit,FH_mean_Priority,FH_max_DoseLimit,FH_max_Priority,FH_40%_DoseLimit,FH_40%_Priority,FH_25%_DoseLimit,FH_25%_Priority,UB_mean_DoseLimit,UB_mean_Priority,UB_max_DoseLimit,UB_max_Priority,UB_40%_DoseLimit,UB_40%_Priority,UB_15%_DoseLimit,UB_15%_Priority
4.04592551,6.385483771,4.856988618,0.471946528,8.332568842,1.591485145,6.594995412,1.95473738,6.950693529,0.956964011,5.115082035,5.510696611,4.984631356,3.139952045,6.007048621,2.962142429,6.110180803,3.367547753,7.564202531,10.40476217,6.325116561,6.409367272,5.014918239,1.797950978,10.61819111,3.17041821,0.499096138,7.27986267,8.059954022,5.792041085,5.954247889,7.268230337,3.280995408,5.161610202
7.113973555,2.899693675,6.774118905,5.351465297,4.351179975,2.664878407,6.655972056,2.178612566,7.08923424,9.434985003,8.0828707,1.446639536,5.114416909,4.481371978,2.504263166,8.267957443,6.460363291,5.992694616,1.648845476,10.70055585,6.937945809,8.039956615,4.647913627,6.785803992,8.745993197,1.911602226,6.303391052,0.292149428,3.22533875,5.553093985,9.200889164,4.000552372,1.684388515,7.810191474
14.55630566,0.700687608,18.35073396,11.50085991,0.428340507,10.28549842,12.31841564,11.29353843,14.59807014,13.52371102,16.27094862,11.53710676,12.23934693,7.931529069,0.660659925,14.29804465,0.75097783,2.130751693,9.73950698,16.58389267,18.33767027,11.89057484,6.969316807,17.81406643,11.40626949,13.67388836,3.199218844,13.45256364,1.142256596,5.471985464,9.405051492,14.47975664,12.12617661,11.45956508
0.368605951,6.894873466,7.282162694,5.862111054,7.449378812,6.18267525,4.878474175,6.285760483,7.031975025,2.779025983,7.31442452,6.311469309,8.276697003,5.379185129,3.767786267,4.77195116,0.318721996,0.746360093,7.523068503,7.914357236,5.476009471,7.022909757,9.300870165,11.14208845,8.333416842,9.370305674,0.50000614,7.223785328,4.395726758,3.869812559,7.04149726,9.489946215,7.814076891,7.570283122
6.19114785,4.974512241,5.572383322,8.408512054,5.959857022,7.190937478,7.827865835,1.230461507,9.965621904,2.828712894,3.687960955,9.525074424,7.166839369,6.076222824,4.894745418,6.604342009,4.36228641,9.258485062,7.457808099,6.15751821,3.655022202,0.962014776,6.514582076,7.355839476,6.594118565,6.547693499,1.975525371,1.93617915,0.469272155,4.281559404,11.44048358,5.47178376,6.721184211,3.785738615
8.530146568,8.51328658,10.01112677,10.12535256,8.162441798,0.365154681,10.56980769,1.578503432,9.45922881,7.503668754,4.729538953,6.192527294,2.883553931,8.60931767,5.017250764,8.614345727,4.572677728,0.956609898,1.893438162,10.08657578,9.166637109,7.554059506,7.503051757,4.74279333,8.656249979,5.058648843,2.670072177,8.19087334,1.146430119,11.17951624,9.661170443,8.384573086,4.492927331,15.01813355
8.849092329,5.46433329,15.17625237,12.1078936,16.43124109,15.08390104,14.44590019,9.769426888,14.99697185,2.186385969,16.46217806,14.82289184,15.70980454,11.00598352,0.389235747,10.32013053,8.548671598,10.70355402,0.166012371,15.67069002,10.9771785,15.90232408,11.66851301,14.05200677,12.30007028,19.26821245,9.489893613,16.65987742,15.44564832,13.7705774,4.215874307,17.96353708,0.427855789,9.492822868
11.37102562,6.985352548,5.538096247,10.63187722,6.736906989,4.355361798,9.554619257,6.580709147,15.0770226,8.120581619,0.900274108,2.429133908,6.250335548,13.4574582,5.260901508,9.578417973,1.080854076,1.887118756,1.446234317,5.987699713,5.328806844,10.12747323,8.114773943,10.37803875,13.52695166,13.46374572,7.624729381,1.350492264,4.182110392,6.972721362,3.774051993,6.588572658,3.644465639,2.479623713
7.896996814,1.731119562,11.87818417,11.67043239,8.838519457,11.8297305,10.00990645,0.488386988,9.107843499,14.58420264,10.85800305,9.197658239,12.53016512,9.790671909,2.926146513,11.65888541,1.021871011,11.70026002,10.17636366,5.881718533,7.533796909,10.25363841,14.44699373,13.75930417,13.33143999,3.584525276,0.945758026,1.129546632,2.661985384,9.503839971,8.931345451,9.879235288,6.914809888,1.9198817
11.36699708,3.609950588,8.155989512,6.177264262,6.377566935,3.486990669,4.50649917,5.326280896,12.44482591,11.08027025,6.608809616,3.109955537,14.51831688,3.664543416,9.028975894,6.740890816,2.189785427,10.11106201,3.532189968,10.81370761,8.525501281,18.45504353,6.759216011,7.287909465,5.825988273,7.231422381,0.735786012,0.271337992,2.474894904,13.09879628,9.243227055,9.483472819,9.061288033,1.331448638
12.43279424,6.619440353,7.859212787,5.273219948,8.53548933,0.862838835,10.07871379,13.02996493,7.799244863,13.96646539,12.50753819,6.93937683,15.61158695,8.814484703,5.110012372,19.6083826,6.932127253,9.919866402,12.05651771,9.143888336,10.50116109,7.42464898,11.15432777,13.80511811,11.01236659,8.160698143,0.312042511,1.393095222,10.16320524,11.30449852,0.876059569,0.605220342,8.517179515,16.13261558
5.690199847,2.946246925,6.059677887,10.88955762,7.151301823,5.973485666,8.725455166,7.295410286,3.42674201,4.194198819,9.652035599,5.082854217,4.337627307,5.71601517,2.675073089,6.851407037,0.924782367,2.492515376,5.660763663,9.395702559,9.016603967,5.825205215,4.361564767,4.15684531,8.869957194,6.654463296,0.775643934,4.552959665,3.637741257,1.986561413,5.015397501,6.376339909,6.324930827,8.045716686
4.694851945,1.292087345,4.525382235,0.258870533,4.531922393,4.786687023,3.620092352,4.873154106,6.802685152,4.569218325,3.575748488,8.367368727,6.27894932,5.582337946,3.375396264,6.336814071,6.901661506,5.120651832,10.17625623,4.769568275,5.767162207,8.013190491,5.030092703,1.54299504,3.204231133,1.984304216,4.30304999,4.050833882,1.201403366,9.5323198,6.889646509,0.702839495,5.289867157,4.87379572
14.64585873,7.848004838,6.779908907,3.928809922,1.549188435,3.693413284,4.559483688,9.521266417,7.365863909,5.678679239,7.395385155,7.81728199,2.325310756,8.135876182,5.822277161,11.11297048,2.240247399,9.809954362,5.259668222,9.348399079,2.819987314,6.448590208,7.022878113,5.503849295,9.752779366,6.899158673,4.744251876,0.891325784,4.342298353,16.22217371,6.259494526,2.947303007,5.611276645,7.652753823
